iter	Logloss
0	0.6474209017
1	0.6131982706
2	0.5835306233
3	0.5605272471
4	0.5403217856
5	0.5254459216
6	0.5151045892
7	0.5052523971
8	0.4968901011
9	0.4832056552
10	0.4717340708
11	0.4629596498
12	0.4565889127
13	0.4517920004
14	0.4478250186
15	0.4432831592
16	0.4398357633
17	0.4378057384
18	0.4354018653
19	0.4335546921
20	0.4321458682
21	0.4303547153
22	0.4291787644
23	0.4284856679
24	0.4270352829
25	0.4261764602
26	0.4244419588
27	0.4235082224
28	0.422335545
29	0.4216422742
30	0.4207647706
31	0.4202307433
32	0.4196176965
33	0.4185234132
34	0.4175754462
35	0.4170767534
36	0.4163302958
37	0.4159523834
38	0.4152620482
39	0.4150106201
40	0.4144240503
41	0.4141557911
42	0.4139464782
43	0.4138284149
44	0.4135711415
45	0.4130903588
46	0.412766803
47	0.4124229652
48	0.4121413283
49	0.4118719269
50	0.4115632434
51	0.4115577068
52	0.4113349314
53	0.4111976279
54	0.4111429941
55	0.4111205375
56	0.4109685406
57	0.4108169729
58	0.4105241203
59	0.4102433533
60	0.4099980102
61	0.4099045312
62	0.4097410784
63	0.4094330249
64	0.4093342799
65	0.4090638378
66	0.4089424789
67	0.4088423569
68	0.4088100434
69	0.408804857
70	0.4086921438
71	0.4085782177
72	0.4085577693
73	0.4083845877
74	0.4080966562
75	0.4080135946
76	0.4077693192
77	0.4076802385
78	0.4074451715
79	0.4074240857
80	0.4072486077
81	0.4072287309
82	0.4070926695
83	0.4069381861
84	0.406711458
85	0.4066088609
86	0.4063261876
87	0.406317527
88	0.4060739382
89	0.406023918
90	0.4058495244
91	0.4058256631
92	0.4055661384
93	0.4053481565
94	0.4051644948
95	0.4049315894
96	0.4048643576
97	0.404677785
98	0.4045040686
99	0.4043456089
100	0.4041412439
101	0.403988306
102	0.4037106523
103	0.4035416583
104	0.403446546
105	0.4033288724
106	0.403312323
107	0.4031920522
108	0.4030256517
109	0.4029067903
110	0.4026263959
111	0.402395852
112	0.4023702204
113	0.4022325331
114	0.4022277021
115	0.402186893
116	0.402105969
117	0.4020935909
118	0.4020045453
119	0.4018844422
120	0.4018735187
121	0.4018600481
122	0.4018156961
123	0.4018059316
124	0.4017909086
125	0.4017050789
126	0.4015855519
127	0.4015773395
128	0.401513707
129	0.4014746066
130	0.4014488605
131	0.4013604966
132	0.4012918069
133	0.4012255106
134	0.4012112044
135	0.4011319858
136	0.401099454
137	0.4010797848
138	0.4010387675
139	0.4010320131
140	0.4008273657
141	0.4006606261
142	0.4006466852
143	0.4006366469
144	0.4004169419
145	0.4003915075
146	0.4002532841
147	0.4002032502
148	0.4001980341
149	0.4001718843
150	0.4001208028
151	0.4000844113
152	0.4000308468
153	0.3999273084
154	0.3998107217
155	0.3997764861
156	0.3996936864
157	0.3996841534
158	0.3996438895
159	0.3996258441
160	0.3996114995
161	0.3995953861
162	0.3995536281
163	0.3993872718
164	0.3992529694
165	0.3992185925
166	0.3992069898
167	0.3991824877
168	0.3990792401
169	0.3990299302
170	0.3989396179
171	0.3988770223
172	0.3987050045
173	0.3986783955
174	0.3986308443
175	0.3986147426
176	0.3985913543
177	0.3985876075
178	0.3985396853
179	0.3984313619
180	0.3983981107
181	0.3983477753
182	0.3983396009
183	0.3983001937
184	0.3982675732
185	0.398132008
186	0.3979970066
187	0.3979696621
188	0.397945164
189	0.3978362734
190	0.3978315696
191	0.3978238311
192	0.3978153967
193	0.3977836848
194	0.39772462
195	0.3977187857
196	0.3976777159
197	0.3976428056
198	0.3976352253
199	0.3976251544
