iter	Passed	Remaining
0	5	1064
1	11	1143
2	18	1188
3	24	1208
4	31	1226
5	38	1232
6	44	1238
7	51	1236
8	58	1233
9	65	1236
10	71	1231
11	78	1226
12	84	1218
13	91	1209
14	97	1203
15	104	1197
16	110	1192
17	117	1190
18	124	1185
19	130	1178
20	137	1170
21	143	1164
22	150	1159
23	157	1153
24	163	1147
25	170	1139
26	177	1134
27	183	1129
28	191	1127
29	198	1124
30	205	1118
31	211	1110
32	218	1107
33	226	1105
34	233	1099
35	239	1092
36	246	1084
37	252	1076
38	259	1070
39	265	1062
40	272	1055
41	278	1048
42	284	1040
43	291	1032
44	297	1026
45	304	1019
46	311	1013
47	317	1006
48	324	1000
49	331	993
50	337	986
51	344	979
52	351	973
53	358	968
54	365	963
55	372	958
56	380	953
57	387	948
58	394	942
59	401	936
60	408	929
61	414	922
62	420	914
63	427	907
64	433	900
65	440	894
66	446	887
67	453	880
68	460	873
69	467	867
70	473	861
71	480	854
72	487	848
73	494	842
74	501	835
75	508	828
76	514	822
77	521	816
78	528	810
79	535	803
80	542	797
81	549	790
82	556	783
83	563	778
84	571	772
85	577	765
86	584	758
87	590	752
88	597	745
89	604	738
90	610	731
91	617	724
92	624	718
93	631	711
94	638	705
95	644	698
96	651	691
97	658	684
98	682	696
99	689	689
100	696	682
101	703	676
102	710	669
103	717	662
104	724	655
105	731	648
106	738	642
107	746	635
108	754	629
109	761	623
110	769	616
111	776	610
112	783	603
113	790	596
114	797	589
115	804	582
116	810	575
117	817	568
118	824	560
119	830	553
120	837	546
121	843	539
122	850	532
123	857	525
124	863	518
125	869	510
126	876	503
127	883	497
128	890	489
129	896	482
130	903	475
131	910	468
132	916	461
133	924	455
134	931	448
135	939	442
136	946	435
137	953	428
138	960	421
139	967	414
140	974	407
141	981	400
142	991	395
143	998	388
144	1005	381
145	1012	374
146	1019	367
147	1026	360
148	1033	353
149	1040	346
150	1047	339
151	1054	332
152	1061	326
153	1068	319
154	1075	312
155	1082	305
156	1089	298
157	1097	291
158	1103	284
159	1111	277
160	1117	270
161	1124	263
162	1131	256
163	1139	250
164	1145	243
165	1152	236
166	1159	229
167	1166	222
168	1173	215
169	1179	208
170	1186	201
171	1193	194
172	1201	187
173	1207	180
174	1214	173
175	1221	166
176	1228	159
177	1252	154
178	1264	148
179	1273	141
180	1280	134
181	1288	127
182	1295	120
183	1302	113
184	1309	106
185	1316	99
186	1323	92
187	1330	84
188	1336	77
189	1343	70
190	1350	63
191	1357	56
192	1364	49
193	1371	42
194	1378	35
195	1385	28
196	1392	21
197	1399	14
198	1406	7
199	1413	0
